variable_name,year
all_farms,2022
all_sales,2022
annual_avg_estabs_count_naics_4244_grocery_and_related_product_wholesalers,2024
annual_avg_estabs_count_naics_4245_farm_product_raw_material_merch._whls.,2024
annual_avg_estabs_count_naics_44511_supermarkets_and_other_grocery_stores,2024
annual_avg_estabs_count_naics_4451_grocery_stores,2024
d2c_sales_pct,2022
intermediated_sales_pct,2022
local_sales_pct,2022
number_colleges_universities,2025
number_csa,2025
number_farmersmarket,2025
number_foodhub,2025
number_healthcare_facilities,2025
number_k12_schools,2025
number_onfarmmarket,2025
overall_food_insecurity_rate,2023
pct_households_with_no_vehicle,2022
pct_laccess_lowi,2019
total_acres_operated,2022
valueadded_farms_pct,2022
