"","fips","farm_sale","county_name.x","state_name.x","fruitnut_sale","share"
"1","01001",724000,"AUTAUGA","ALABAMA",NA,NA
"2","01003",6742000,"BALDWIN","ALABAMA",NA,NA
"3","01005",5590000,"BARBOUR","ALABAMA",433000,0.0774597495527728
"4","01007",454000,"BIBB","ALABAMA",182000,0.400881057268722
"5","01009",1503000,"BLOUNT","ALABAMA",741000,0.493013972055888
"6","01011",5946000,"BULLOCK","ALABAMA",NA,NA
"7","01013",1376000,"BUTLER","ALABAMA",294000,0.213662790697674
"8","01015",895000,"CALHOUN","ALABAMA",209000,0.233519553072626
"9","01017",2811000,"CHAMBERS","ALABAMA",168000,0.0597652081109925
"10","01019",2419000,"CHEROKEE","ALABAMA",161000,0.0665564282761472
"11","01021",1343000,"CHILTON","ALABAMA",8341000,6.21072226358898
"12","01023",1809000,"CHOCTAW","ALABAMA",270000,0.149253731343284
"13","01025",1395000,"CLARKE","ALABAMA",35000,0.025089605734767
"14","01027",1446000,"CLAY","ALABAMA",1314000,0.908713692946058
"15","01029",1628000,"CLEBURNE","ALABAMA",110000,0.0675675675675676
"16","01031",5444000,"COFFEE","ALABAMA",NA,NA
"17","01033",2037000,"COLBERT","ALABAMA",60000,0.0294550810014728
"18","01035",2223000,"CONECUH","ALABAMA",215000,0.0967161493477283
"19","01037",531000,"COOSA","ALABAMA",NA,NA
"20","01039",3835000,"COVINGTON","ALABAMA",657000,0.171316818774446
"21","01041",2988000,"CRENSHAW","ALABAMA",266000,0.0890227576974565
"22","01043",5009000,"CULLMAN","ALABAMA",864000,0.172489518866041
"23","01045",3526000,"DALE","ALABAMA",455000,0.129041406693137
"24","01047",3763000,"DALLAS","ALABAMA",220000,0.0584639914961467
"25","01049",5637000,"DE KALB","ALABAMA",888000,0.157530601383715
"26","01051",1345000,"ELMORE","ALABAMA",NA,NA
"27","01053",2603000,"ESCAMBIA","ALABAMA",101000,0.0388013830195928
"28","01055",2325000,"ETOWAH","ALABAMA",NA,NA
"29","01057",728000,"FAYETTE","ALABAMA",21000,0.0288461538461538
"30","01059",2208000,"FRANKLIN","ALABAMA",NA,NA
"31","01061",2554000,"GENEVA","ALABAMA",803000,0.314408770555991
