county_fips,GEOID,state,county_name_hub,distance_nearest_hub_mile,nearest_hub_name,nearest_hub_id,hub_county_geoid,hub_county_name,hub_products,hub_desert,centroid_x,centroid_y,fips,ansicode,county_name_spma,state_name,state_abbrev,year,all_farms,annual_avg_estabs_count_naics_4244_grocery_and_related_product_wholesalers,annual_avg_estabs_count_naics_4245_farm_product_raw_material_merch._whls.,annual_avg_estabs_count_naics_44511_supermarkets_and_other_grocery_stores,annual_avg_estabs_count_naics_4451_grocery_stores,d2c_sales_pct,intermediated_sales_pct,local_sales_pct,number_colleges_universities,number_csa,number_farmersmarket,number_foodhub,number_healthcare_facilities,number_k12_schools,number_onfarmmarket,overall_food_insecurity_rate,pct_households_with_no_vehicle,pct_laccess_lowi,total_acres_operated,valueadded_farms_pct
01001,01001,Alabama,Autauga,150.955933769052,The Common Market Georgia,500112,13121,Fulton,Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Tofu/non-animal protein;,TRUE,872696.746233728,1094407.28508491,1001,161526,Autauga,Alabama,AL,2022,353,1,,3,3,0.208281055,0.298619837,0.54705143,0,,,,8,16,2,15.1,4,13.020998,69617,8.781869888
01003,01003,Alabama,Baldwin,69.1776498002368,Ocean Springs Fresh Market,500016,28059,Jackson,Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;,TRUE,789795.134721739,884543.024893456,1003,161527,Baldwin,Alabama,AL,2022,853,22,1,34,42,0.702230573,0.710582197,1.66823256,3,,8,,31,50,10,14.8,2.299999952,7.936779499,121532,13.01289558
01005,01005,Alabama,Barbour,131.975293213092,Middle Georgia Growers Cooperative,500107,13289,Twiggs,Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Dairy products;Eggs;Fish/seafood;Herbs;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;,TRUE,997016.327140999,1032942.99526748,1005,161528,Barbour,Alabama,AL,2022,590,2,0,4,6,0.03128393,0.015641965,0.183563054,0,,1,,4,9,,19.7,11.69999981,10.43317127,175773,4.067796707
01007,01007,Alabama,Bibb,123.53215427948,Farm Food Collaborative / Food Bank of North Alabama,500138,01089,Madison,"Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Eggs;Herbs;Juices/non-alcoholic ciders;value-added products (kombuchas, krauts, etc.);",TRUE,822890.695905377,1141583.38179926,1007,161529,Bibb,Alabama,AL,2022,176,1,,3,3,1.396081924,0.02251745,,0,,,,2,9,,19.3,7.5,0.445866227,36510,9.090909004
01009,01009,Alabama,Blount,51.6346753849009,Farm Food Collaborative / Food Bank of North Alabama,500138,01089,Madison,"Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Eggs;Herbs;Juices/non-alcoholic ciders;value-added products (kombuchas, krauts, etc.);",TRUE,863691.337926441,1255731.5581679,1009,161530,Blount,Alabama,AL,2022,980,2,,6,6,0.223204017,0.110375613,,0,,1,,10,20,4,17.3,4.800000191,2.512206078,111096,7.244897842
01011,01011,Alabama,Bullock,132.287806602673,Royal Food Service,500078,13121,Fulton,Fresh fruits;Fresh vegetables;Dairy products;Eggs;Herbs;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;,TRUE,964069.311722749,1055202.17683852,1011,161531,Bullock,Alabama,AL,2022,250,,,3,3,0.06632293,,,0,,,,2,4,,19,10.39999962,32.33919144,125494,6
01013,01013,Alabama,Butler,156.990505202977,Ocean Springs Fresh Market,500016,28059,Jackson,Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;,TRUE,877745.512641004,1007270.04862194,1013,161532,Butler,Alabama,AL,2022,397,,,3,3,0.029729312,0.032739878,,0,,1,,7,7,,18.4,5,6.9182868,76442,5.541561604
01015,01015,Alabama,Calhoun,77.0546513090447,SocialBites Food Hub,501295,13057,Cherokee,,TRUE,933828.808161431,1239463.82307061,1015,161533,Calhoun,Alabama,AL,2022,601,8,,19,25,0.062312543,0.099700071,,1,,4,,21,37,2,18.6,5.599999905,15.3980732,51517,8.319467545
01017,01017,Alabama,Chambers,77.2736889965938,Royal Food Service,500078,13121,Fulton,Fresh fruits;Fresh vegetables;Dairy products;Eggs;Herbs;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;,TRUE,984175.08258994,1148714.65867769,1017,161534,Chambers,Alabama,AL,2022,355,,,7,7,0.222588629,0.225336626,0.546853542,0,,1,,9,13,,17.3,7,8.102988243,103347,8.450704575
01019,01019,Alabama,Cherokee,61.328375670927,SocialBites Food Hub,501295,13057,Cherokee,,TRUE,949221.263209969,1286592.36562132,1019,161535,Cherokee,Alabama,AL,2022,567,2,2,4,4,0.04314578,0.019723784,0.146695644,0,,1,,4,8,,17.5,3.200000048,5.00865221,98334,7.936507702
