"","GEOID","state","county_name","distance_nearest_hub(mile)","nearest_hub_name","nearest_hub_id","hub_county_geoid","hub_county_name","hub_products","hub_desert","geometry"
"1","01003","Alabama","Baldwin",69.1776498002368,"Ocean Springs Fresh Market","500016","28059","Jackson","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,c(789795.134721739, 884543.024893456)
"2","01069","Alabama","Houston",156.100837458052,"Middle Georgia Growers Cooperative","500107","13289","Twiggs","Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Dairy products;Eggs;Fish/seafood;Herbs;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;",TRUE,c(1014495.77012518, 954669.282281133)
"3","01005","Alabama","Barbour",131.975293213092,"Middle Georgia Growers Cooperative","500107","13289","Twiggs","Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Dairy products;Eggs;Fish/seafood;Herbs;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;",TRUE,c(997016.327140999, 1032942.99526748)
"4","01119","Alabama","Sumter",116.698250202467,"Up in Farms Food Hub","500149","28049","Hinds","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Herbs;Honey;Maple products;Mushrooms;Nuts;",TRUE,c(727423.52066814, 1087515.63024671)
"5","05091","Arkansas","Miller",135.693246669702,"Little Rock Local Food Club","500000","05119","Pulaski","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,c(194967.813878662, 1140304.68803533)
"6","05133","Arkansas","Sevier",123.211312421758,"Little Rock Local Food Club","500000","05119","Pulaski","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,c(161278.00585765, 1216150.17625223)
"7","05093","Arkansas","Mississippi",43.1922909212873,"Bring It Food Hub","500066","47157","Shelby","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Eggs;Herbs;Grains/flour;Honey;Mushrooms;Poultry/fowl meat and products;",TRUE,c(532674.712834732, 1428786.82916213)
"8","06037","California","Los Angeles",16.1173873518804,"Hollywood Food Coalition","501096","06037","Los Angeles",NA,FALSE,c(-2011044.514001, 1487083.52441431)
"9","06087","California","Santa Cruz",15.5567495560575,"Esperanza Community Farms","501062","06087","Santa Cruz",NA,FALSE,c(-2262113.31704581, 1868468.01756343)
"10","06097","California","Sonoma",21.0208031967598,"FEED Sonoma","501066","06097","Sonoma",NA,TRUE,c(-2291079.48945646, 2048382.40408049)
"11","06013","California","Contra Costa",8.870820912223,"Fresh Approach","501068","06013","Contra Costa",NA,FALSE,c(-2229771.69593286, 1959844.81348238)
"12","06003","California","Alpine",46.4406930161161,"Outer Aisle Foods","501079","06009","Calaveras",NA,TRUE,c(-2033721.62599824, 1985970.49357692)
"13","08067","Colorado","La Plata",39.8469945477099,"San Juan College Harvest Food Hub","500212","35045","San Juan","Fresh fruits;Fresh vegetables;Eggs;Honey;",TRUE,c(-1037451.0850558, 1647572.54855126)
"14","08113","Colorado","San Miguel",10.9741648757227,"Fresh Foundation - DBA Fresh Food Hub","501098","08113","San Miguel",NA,FALSE,c(-1075935.06230981, 1733627.80779698)
"15","10001","Delaware","Kent",34.46294769846,"Chesapeake Harvest","500162","24041","Talbot","Fresh fruits;Fresh vegetables;",TRUE,c(1737525.89056585, 1972023.9703668)
"16","12123","Florida","Taylor",113.775123042339,"Florida Fresh Meat Company","500193","12083","Marion","Eggs;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(1190768.00408415, 852357.03739941)
"17","12017","Florida","Citrus",24.7587249417156,"Florida Fresh Meat Company","500193","12083","Marion","Eggs;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(1316854.90815511, 735642.573320997)
"18","12071","Florida","Lee",135.280271277192,"Hernando County Growers' Association, Inc.","500158","12053","Hernando","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Dry beans;Eggs;Fish/seafood;Herbs;Grains/flour;Green household products;Honey;Juices/non-alcoholic ciders;Maple products;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Tofu/non-animal protein;Wild harvested forest products;Wine/spirits/beer/hard cider;",TRUE,c(1416546.14859193, 497033.047911292)
"19","12101","Florida","Pasco",15.5517714095613,"Hernando County Growers' Association, Inc.","500158","12053","Hernando","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Dry beans;Eggs;Fish/seafood;Herbs;Grains/flour;Green household products;Honey;Juices/non-alcoholic ciders;Maple products;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Tofu/non-animal protein;Wild harvested forest products;Wine/spirits/beer/hard cider;",FALSE,c(1333807.86360446, 677786.782807508)
"20","12033","Florida","Escambia",88.8968834206657,"Ocean Springs Fresh Market","500016","28059","Jackson","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,c(824602.9553513, 881123.764586798)
"21","12037","Florida","Franklin",172.645870760029,"Florida Fresh Meat Company","500193","12083","Marion","Eggs;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(1077266.12849594, 819163.087323783)
"22","02090","Alaska","Fairbanks North Star",40.7312757259996,"Fairbanks Food Hub","501297","02090","Fairbanks North Star",NA,TRUE,c(-2743959.40615591, 5268131.00947858)
