"","county_fips","GEOID","state","county_name_hub","distance_nearest_hub_mile","nearest_hub_name","nearest_hub_id","hub_county_geoid","hub_county_name","hub_products","hub_desert","centroid_x","centroid_y","fips","ansicode","county_name_spma","state_name","state_abbrev","all_farms","all_sales","annual_avg_estabs_count_naics_4244_grocery_and_related_product_wholesalers","annual_avg_estabs_count_naics_4245_farm_product_raw_material_merch._whls.","annual_avg_estabs_count_naics_44511_supermarkets_and_other_grocery_stores","annual_avg_estabs_count_naics_4451_grocery_stores","d2c_farms_pct","d2c_sales_pct","intermediated_farms_pct","intermediated_sales_pct","local_sales_pct","number_colleges_universities","number_csa","number_farmersmarket","number_foodhub","number_healthcare_facilities","number_k12_schools","number_onfarmmarket","overall_food_insecurity_rate","pct_households_with_no_vehicle","pct_laccess_lowi","total_acres_operated","valueadded_farms_pct","distance_nearest_farmersmarket_mile","nearest_farmersmarket_name","nearest_farmersmarket_id","market_county_geoid","market_county_name","farmersmarket_desert","...48","farm_sale","county_name.x","state_name.x","fruitnut_sale","share","direct_to_consumer","foodhub_present","foodhub_share","interm_sales","foodhub_inter","spma_raw","lnspma","spma"
"1","01003","01003","Alabama","Baldwin",69.177649800237,"Ocean Springs Fresh Market",500016,"28059","Jackson","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,789795.134721739,884543.024893456,1003,161527,"Baldwin","Alabama","AL",853,143685000,22,1,34,42,9.847597122,0.702230573,3.165298939,0.710582197,1.66823256,3,NA,8,NA,31,50,10,14.8,2.299999952,7.936779499,121532,13.01289558,7.18648391544245,"Fitzpen Place Farmers Market",308314,"01003","Baldwin",FALSE,2,6742000,"BALDWIN","ALABAMA",NA,NA,19537.0167995258,FALSE,99.297769427,142676000.001185,29813.9362308642,49350.95303039,10.8067123563345,40.647782584081
"2","01069","01069","Alabama","Houston",156.100837458052,"Middle Georgia Growers Cooperative",500107,"13289","Twiggs","Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Dairy products;Eggs;Fish/seafood;Herbs;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;",TRUE,1014495.77012518,954669.282281134,1069,161560,"Houston","Alabama","AL",616,112149000,10,3,16,18,6.818181992,0.123942256,3.409090996,0.518952489,0.720470071,1,1,3,NA,18,35,1,18.2,6.199999809,4.242109299,107906,10.22727299,5.17874084146108,"Houston Co. Farmers Market",308330,"01069","Houston",FALSE,35,2607000,"HOUSTON","ALABAMA",611000,0.234369006520905,5182.82381716499,FALSE,99.876057744,112009999.999319,4596.70180411155,9779.52562127653,9.18804625687051,33.343042070882
"3","01005","01005","Alabama","Barbour",131.975293213092,"Middle Georgia Growers Cooperative",500107,"13289","Twiggs","Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Dairy products;Eggs;Fish/seafood;Herbs;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;",TRUE,997016.327140999,1032942.99526748,1005,161528,"Barbour","Alabama","AL",590,217364000,2,0,4,6,2.711864471,0.03128393,1.355932236,0.015641965,0.183563054,0,NA,1,NA,4,9,NA,19.7,11.69999981,10.43317127,175773,4.067796707,17.3135726323274,"Clio Market",308299,"01005","Barbour",FALSE,3,5590000,"BARBOUR","ALABAMA",433000,0.0774597495527728,226.848303938196,FALSE,99.96871607,217295999.998395,12475.7441786536,12702.5924825918,9.44956138410203,34.5232114370873
"4","01119","01119","Alabama","Sumter",116.698250202467,"Up in Farms Food Hub",500149,"28049","Hinds","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Herbs;Honey;Maple products;Mushrooms;Nuts;",TRUE,727423.520668141,1087515.6302467,1119,161585,"Sumter","Alabama","AL",346,20233000,NA,1,1,3,1.734104037,0.133445367,1.445086718,0.05930905,2.204319715,1,NA,NA,NA,3,6,NA,19.6,7.699999809,10.74469566,161034,3.179190636,24.9342142863604,"Greene/Sumter County Farmers Market",308322,"01063","Greene",TRUE,60,2641000,"SUMTER","ALABAMA",96000,0.0363498674744415,43.4282577671919,FALSE,99.866554633,20205999.9988949,1483.71900714861,1527.14726491581,7.33115674124686,24.9632433725575
"5","05091","05091","Arkansas","Miller",135.693246669701,"Little Rock Local Food Club",5e+05,"05119","Pulaski","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,194967.813878662,1140304.68803533,5091,69166,"Miller","Arkansas","AR",360,77879000,1,NA,6,10,4.722222328,0.026964907,0.833333313,0.028248951,NA,0,NA,1,NA,8,15,NA,21.1,8.899999619,12.24641609,70667,5.555555344,11.4066533300879,"Gateway Farmers Market",301641,"05091","Miller",FALSE,133,1222000,"MILLER","ARKANSAS",965000,0.789689034369885,161.399731426321,FALSE,99.973035093,77858000.0000775,4228.50429404084,4389.90402546716,8.38706264374987,29.7283512763394
"6","05133","05133","Arkansas","Sevier",123.211312421759,"Little Rock Local Food Club",5e+05,"05119","Pulaski","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,161278.00585765,1216150.17625223,5133,69182,"Sevier","Arkansas","AR",417,322620000,1,NA,4,5,1.918465257,0.000929887,2.158273458,0.073771,NA,1,NA,NA,NA,2,8,NA,20.8,4.699999809,13.39540195,94358,4.076738834,4.37343176954961,"Lockesburg Farmers Market",314331,"05133","Sevier",FALSE,154,1520000,"SEVIER","ARKANSAS",NA,NA,156.847193517794,FALSE,99.999070113,322616999.998561,21251.328331619,21408.1755251368,9.97152816193848,36.8787508963176
"7","05093","05093","Arkansas","Mississippi",43.192290921291,"Bring It Food Hub",500066,"47157","Shelby","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Eggs;Herbs;Grains/flour;Honey;Mushrooms;Poultry/fowl meat and products;",TRUE,532674.712834732,1428786.82916213,5093,69899,"Mississippi","Arkansas","AR",268,462652000,NA,4,9,11,2.238806009,0.002593742,NA,NA,NA,1,NA,NA,NA,7,22,1,21.8,10.39999962,8.994427681,66450,NA,29.0170586720453,"Ripley Downtown Farmers' Market",312820,"47097","Lauderdale",TRUE,134,5091000,"MISSISSIPPI","ARKANSAS",NA,NA,14.2519550104718,FALSE,99.997406258,462640000.000762,247988.019362085,248002.271317095,12.4211931836419,47.9336357386754
"8","06037","06037","California","Los Angeles",16.1173873518815,"Hollywood Food Coalition",501096,"06037","Los Angeles",NA,FALSE,-2011044.514001,1487083.52441432,6037,277283,"Los Angeles","California","CA",766,199849000,2158,107,1862,2837,14.22976494,1.354522705,8.616188049,2.721054316,4.595970154,139,6,106,4,1245,2224,9,14.6,8.699999809,1.452950835,16521,22.84595299,7.93281092741337,"La Cañada Flintridge Farmers' Market",308724,"06037","Los Angeles",FALSE,181,13791000,"LOS ANGELES","CALIFORNIA",6243000,0.452686534696541,43016.4000168217,TRUE,98.645477295,197141999.919285,758909.293112235,801925.693129056,13.5947712305974,53.2297762508143
"9","06087","06087","California","Santa Cruz",15.556749556058,"Esperanza Community Farms",501062,"06087","Santa Cruz",NA,FALSE,-2262113.31704581,1868468.01756344,6087,277308,"Santa Cruz","California","CA",614,706206000,51,5,65,83,17.26384354,1.113272905,15.96091175,6.43537426,7.555160999,3,6,5,2,43,83,4,12.4,5.199999809,5.418861866,18912,33.22475433,1.50730684807633,"Scotts Valley Farmers' Market",308926,"06087","Santa Cruz",FALSE,206,14411000,"SANTA CRUZ","CALIFORNIA",228781000,15.8754423704115,3460427.04669172,TRUE,98.886727095,698343999.948516,2885570.47569731,6345997.52238904,15.6633348607043,62.5648210497232
"10","06097","06097","California","Sonoma",21.0208031967597,"FEED Sonoma",501066,"06097","Sonoma",NA,TRUE,-2291079.48945646,2048382.40408049,6097,1657246,"Sonoma","California","CA",3097,976394000,71,12,146,218,12.72198868,19.71744919,12.01162434,23.06251335,42.96380234,3,8,16,1,89,181,7,11.4,4.800000191,2.581933022,286769,24.73361397,6.23730822734946,"Russian River Farmers Market",301620,"06097","Sonoma",FALSE,211,38161000,"SONOMA","CALIFORNIA",574680000,15.0593537905191,4948589.39813875,TRUE,80.28255081,783874009.155792,1773975.64200744,6722565.04014619,15.7209803420722,62.8249644377205
